Drumheller Fountain,47.653832606220924,-122.3078057017257
Gas Works Park,47.64565014087464,-122.33435929554864
Husky Stadium,47.65035,-122.30161109999999
Intramural Activities Center (IMA),47.6535848521215,-122.30155844405472
The Quad,47.657218244877804,-122.30733001281598
Red Square,47.65585082889623,-122.30950128169951
Suzallo and Allen Libraries,47.65577019479702,-122.30783733607517
The Statue of George Washington,47.6560687595341,-122.31112664322377
Sylvan Grove Theater and Columns,47.65274297460573,-122.3063086268644
University Book Store,47.66051836613477,-122.31285000172547
