Istanbul (Turkey),41.0055005,28.7319943
Moscow (Russia),55.5815244,36.8251234
London (United Kingdom),51.5287718,-0.2416814
Saint Petersburg (Russia),59.9399139,29.5342837
Berlin (Germany),52.5069312,13.144553
Madrid (Spain),40.4381311,-3.8196209
Kiev (Ukraine),50.4021368,30.2525105
Rome (Italy),41.8514671,11.9544751
Paris (France),48.8589507,2.2770202
Bucharest (Romania),44.4379853,25.9545538
